t1,t2,t3,ave
65.889,61.983,59.206,62.359333333333325
65.889,61.983,59.206,62.359333333333325
65.92,61.983,59.206,62.36966666666666
66.073,62.136,59.297,62.502
65.981,62.075,59.297,62.45099999999999
65.951,62.044,59.206,62.40033333333333
65.951,62.014,59.175,62.379999999999995
65.951,62.075,59.236,62.42066666666667
65.951,62.014,59.236,62.40033333333333
65.951,62.044,59.175,62.38999999999999
65.92,62.014,59.175,62.36966666666666
65.859,62.014,59.175,62.349333333333334
66.012,62.044,59.236,62.43066666666666
65.981,62.044,59.206,62.410333333333334
65.951,62.044,59.175,62.38999999999999
65.981,62.075,59.206,62.42066666666667
65.828,61.983,59.175,62.32866666666666
65.981,62.136,59.267,62.46133333333333
66.012,62.044,59.206,62.42066666666667
66.012,62.105,59.236,62.45099999999999
65.951,62.014,59.206,62.39033333333333
65.889,62.044,59.175,62.36933333333334
65.92,62.044,59.206,62.39000000000001
65.92,62.075,59.206,62.40033333333334
65.951,62.075,59.236,62.42066666666667
65.951,62.105,59.236,62.43066666666666
65.981,62.105,59.206,62.43066666666666
66.042,62.136,59.236,62.47133333333333
65.951,62.075,59.236,62.42066666666667
65.951,62.105,59.206,62.42066666666667
66.012,62.136,59.236,62.46133333333333
65.951,62.075,59.236,62.42066666666667
65.951,62.075,59.175,62.40033333333334
65.981,62.044,59.206,62.410333333333334
65.889,61.983,59.145,62.339
65.951,62.044,59.145,62.379999999999995
65.92,62.014,59.175,62.36966666666666
65.859,62.014,59.145,62.339333333333336
66.042,62.136,59.236,62.47133333333333
65.828,61.922,59.084,62.278
66.042,62.105,59.267,62.47133333333333
65.92,62.014,59.175,62.36966666666666
65.981,62.044,59.236,62.420333333333325
65.889,62.014,59.145,62.349333333333334
65.92,62.014,59.175,62.36966666666666
65.981,62.044,59.175,62.4
65.981,62.075,59.236,62.43066666666666
65.981,62.075,59.206,62.42066666666667
65.92,62.014,59.175,62.36966666666666
65.951,62.044,59.206,62.40033333333333
65.92,62.044,59.175,62.37966666666667
65.92,62.014,59.175,62.36966666666666
65.981,62.075,59.206,62.42066666666667
66.073,62.105,59.297,62.49166666666667
65.981,62.105,59.236,62.44066666666666
65.981,62.075,59.175,62.410333333333334
65.951,62.075,59.145,62.39033333333334
65.859,62.044,59.389,62.43066666666667
65.981,62.014,59.206,62.40033333333334
65.951,62.136,59.236,62.440999999999995
66.012,62.075,59.175,62.42066666666667
65.951,62.136,59.236,62.440999999999995
66.042,62.136,59.236,62.47133333333333
65.951,62.105,59.236,62.43066666666666
65.92,62.044,59.175,62.37966666666667
65.889,62.044,59.175,62.36933333333334
65.951,62.075,59.175,62.40033333333334
65.951,62.105,59.206,62.42066666666667
65.981,62.136,59.206,62.440999999999995
66.073,62.166,59.297,62.51199999999999
65.92,62.014,59.175,62.36966666666666
65.859,62.014,59.145,62.339333333333336
65.92,62.014,59.145,62.35966666666667
65.951,62.075,59.175,62.40033333333334
65.951,62.075,59.175,62.40033333333334
65.889,61.983,59.175,62.34899999999999
65.951,62.075,59.175,62.40033333333334
65.951,62.075,59.236,62.42066666666667
66.042,62.105,59.236,62.46099999999999
65.859,61.953,59.145,62.318999999999996
65.981,62.105,59.145,62.410333333333334
65.981,62.105,59.206,62.43066666666666
65.859,62.044,59.145,62.349333333333334
65.645,61.892,59.084,62.207
65.889,62.044,59.175,62.36933333333334
65.92,62.044,59.175,62.37966666666667
65.859,61.983,59.114,62.318666666666665
65.951,62.105,59.175,62.410333333333334
66.042,62.105,59.175,62.440666666666665
65.859,61.953,59.114,62.30866666666666
66.073,62.197,59.267,62.51233333333332
65.859,61.983,59.145,62.329
65.951,62.075,59.145,62.39033333333334
65.981,62.075,59.175,62.410333333333334
65.981,62.075,59.145,62.40033333333333
65.92,62.075,59.145,62.38
65.859,62.044,59.175,62.359333333333325
65.889,62.044,59.145,62.35933333333333
65.951,62.075,59.206,62.41066666666668
65.828,61.983,59.145,62.31866666666667
66.012,62.105,59.206,62.440999999999995
65.889,62.014,59.175,62.359333333333325
65.798,61.983,59.084,62.288333333333334
65.859,62.014,59.175,62.349333333333334
65.828,62.075,59.206,62.36966666666667
65.951,62.075,59.206,62.41066666666668
65.889,62.044,59.175,62.36933333333334
65.981,62.105,59.206,62.43066666666666
65.889,62.075,59.175,62.37966666666667
65.981,62.166,59.267,62.47133333333333
65.798,62.014,59.145,62.31900000000001
65.951,62.075,59.175,62.40033333333334
65.798,61.953,59.084,62.278333333333336
65.981,62.075,59.206,62.42066666666667
65.889,61.983,59.145,62.339
65.951,62.075,59.175,62.40033333333334
65.859,62.075,59.175,62.36966666666666
65.889,62.075,59.145,62.36966666666667
65.889,62.014,59.175,62.359333333333325
65.951,62.136,59.206,62.431000000000004
66.012,62.136,59.175,62.440999999999995
66.042,62.105,59.175,62.440666666666665
65.92,62.044,59.175,62.37966666666667
65.981,62.075,59.145,62.40033333333333
65.92,62.044,59.145,62.36966666666667
65.981,62.136,59.206,62.440999999999995
65.859,62.014,59.145,62.339333333333336
65.981,62.136,59.236,62.45099999999999
65.951,62.105,59.175,62.410333333333334
66.042,62.166,59.267,62.49166666666667
65.92,62.044,59.175,62.37966666666667
65.951,62.075,59.206,62.41066666666668
65.951,62.105,59.175,62.410333333333334
65.798,62.014,59.145,62.31900000000001
65.92,62.014,58.931,62.288333333333334
65.889,62.044,59.145,62.35933333333333
65.981,62.044,59.114,62.37966666666666
65.92,62.075,59.206,62.40033333333334
66.012,62.136,59.267,62.471666666666664
65.889,62.014,59.175,62.359333333333325
65.92,62.014,59.145,62.35966666666667
65.859,61.983,59.145,62.329
65.951,62.166,59.206,62.440999999999995
66.042,62.136,59.236,62.47133333333333
65.798,61.983,59.206,62.32900000000001
65.981,62.105,59.206,62.43066666666666
65.951,62.105,59.236,62.43066666666666
65.889,62.075,59.206,62.39000000000001
66.012,62.105,59.236,62.45099999999999
65.859,62.014,59.175,62.349333333333334
65.951,62.075,59.236,62.42066666666667
65.981,62.075,59.206,62.42066666666667
65.92,62.014,59.206,62.379999999999995
65.981,62.075,59.206,62.42066666666667
65.92,62.044,59.175,62.37966666666667
65.951,62.044,59.236,62.410333333333334
65.951,62.044,59.175,62.38999999999999
66.073,62.105,59.267,62.48166666666666
65.951,62.044,59.236,62.410333333333334
65.889,62.014,59.145,62.349333333333334
65.981,62.044,59.145,62.38999999999999
66.012,62.136,59.267,62.471666666666664
66.042,62.136,59.236,62.47133333333333
65.951,62.014,59.145,62.370000000000005
65.92,62.014,59.145,62.35966666666667
65.828,61.922,59.053,62.26766666666666
65.951,62.075,59.145,62.39033333333334
65.92,62.014,59.175,62.36966666666666
65.951,62.044,59.206,62.40033333333333
65.828,61.983,59.145,62.31866666666667
65.889,62.075,59.175,62.37966666666667
66.012,62.105,59.206,62.440999999999995
65.92,62.044,59.206,62.39000000000001
65.889,62.044,59.175,62.36933333333334
65.951,62.014,59.175,62.379999999999995
66.012,62.105,59.236,62.45099999999999
65.92,62.075,59.206,62.40033333333334
66.012,62.105,59.206,62.440999999999995
65.981,62.044,59.145,62.38999999999999
65.92,61.983,59.297,62.4
65.981,62.014,59.206,62.40033333333334
66.012,62.075,59.175,62.42066666666667
65.92,61.953,59.206,62.35966666666667
65.951,62.014,59.145,62.370000000000005
66.012,62.105,59.236,62.45099999999999
65.981,62.044,59.175,62.4
65.828,61.922,59.267,62.339
65.859,61.953,59.145,62.318999999999996
65.981,62.014,59.206,62.40033333333334
65.951,62.014,59.236,62.40033333333333
65.981,62.044,59.206,62.410333333333334
65.951,61.983,59.145,62.35966666666667
66.012,62.014,59.236,62.42066666666667
65.859,61.922,59.175,62.318666666666665
65.859,61.892,59.145,62.29866666666667
65.951,61.983,59.206,62.379999999999995
65.889,61.892,59.175,62.31866666666667
65.92,61.953,59.175,62.349333333333334
65.951,61.983,59.175,62.36966666666666
66.012,61.983,59.206,62.40033333333334
66.042,62.044,59.175,62.42033333333334
65.92,61.922,59.145,62.329
66.012,62.014,59.236,62.42066666666667
66.042,62.014,59.206,62.42066666666667
65.981,62.014,59.175,62.39000000000001
65.981,61.953,59.175,62.36966666666666
65.92,61.983,59.175,62.359333333333325
65.951,62.014,59.206,62.39033333333333
65.981,61.983,59.206,62.39000000000001
65.951,61.922,59.175,62.349333333333334
65.859,62.044,59.389,62.43066666666667
65.951,62.014,59.297,62.42066666666667
65.92,61.953,59.206,62.35966666666667
66.134,62.044,59.236,62.47133333333333
65.92,61.983,59.267,62.38999999999999
66.073,62.014,59.206,62.431000000000004
65.981,61.983,59.206,62.39000000000001
