,"Fb_set
[kN]","v_set
[km/h]",μ_m,"Ta_max
[°C]","Energy
[kJ]",braking_time
0,23.0,50,0.408,67,512,12.0
1,23.0,80,0.383,101,1350,22.1
2,23.0,120,0.374,157,3072,35.7
3,23.0,160,0.376,209,5486,49.1
4,23.0,200,0.381,260,8599,61.8
5,23.0,250,0.383,348,13486,78.4
18,23.0,50,0.397,75,520,12.5
19,23.0,80,0.379,98,1349,22.4
20,23.0,120,0.38,139,3074,35.3
21,23.0,160,0.387,189,5489,47.8
22,23.0,200,0.396,251,8601,60.0
23,23.0,250,0.392,335,13485,76.8
