t1,t2,t3,ave
67.598,61.281,60.121,63.0
67.598,61.251,60.152,63.00033333333332
67.629,61.281,60.091,63.00033333333334
67.629,61.312,60.152,63.031000000000006
67.568,61.251,60.121,62.98
67.568,61.251,60.121,62.98
67.537,61.22,60.091,62.949333333333335
67.598,61.22,60.06,62.959333333333326
67.629,61.251,60.152,63.01066666666666
67.537,61.281,60.305,63.041000000000004
67.568,61.251,60.091,62.97
67.568,61.281,60.213,63.02066666666666
67.66,61.373,60.121,63.05133333333333
67.507,61.22,60.091,62.93933333333334
67.721,61.342,60.06,63.041
67.598,61.281,60.091,62.99
67.69,61.373,60.152,63.07166666666666
67.629,61.281,60.121,63.010333333333335
67.568,61.19,60.091,62.949666666666666
67.537,61.19,60.03,62.919000000000004
67.629,61.281,60.121,63.010333333333335
67.598,61.251,60.091,62.98
67.537,61.19,60.06,62.929
67.598,61.22,60.03,62.94933333333333
67.507,61.19,60.03,62.909
67.507,61.22,60.03,62.919000000000004
67.568,61.281,60.121,62.99
67.629,61.312,60.091,63.01066666666667
67.537,61.22,60.091,62.949333333333335
67.537,61.251,60.06,62.949333333333335
67.629,61.312,60.06,63.00033333333334
67.629,61.281,60.121,63.010333333333335
67.568,61.251,60.121,62.98
67.66,61.281,60.121,63.02066666666667
67.568,61.251,60.06,62.959666666666664
67.537,61.22,60.03,62.929
67.537,61.281,60.06,62.95933333333334
67.598,61.281,60.06,62.97966666666667
67.537,61.251,60.091,62.95966666666667
67.537,61.22,60.091,62.949333333333335
67.598,61.281,60.121,63.0
67.537,61.22,60.06,62.939
67.568,61.22,60.06,62.949333333333335
67.568,61.22,60.03,62.93933333333334
67.476,61.129,59.938,62.84766666666667
67.446,61.159,59.969,62.858
67.598,61.22,60.06,62.959333333333326
67.629,61.22,60.06,62.96966666666666
67.476,61.19,59.999,62.88833333333333
67.537,61.251,60.091,62.95966666666667
67.598,61.251,60.091,62.98
67.629,61.342,60.182,63.05100000000001
67.568,61.22,60.03,62.93933333333334
67.598,61.281,60.091,62.99
67.568,61.281,60.03,62.959666666666664
67.629,61.251,60.06,62.98
67.598,61.281,60.091,62.99
67.537,61.22,60.091,62.949333333333335
